Date;Symbol;Open;High;Low;Close;Volume BTC;Volume USD
2019-10-31;BTCUSD;9203.53;9401.84;8981.31;9195;4.947;45171.46
2019-10-30;BTCUSD;9449.75;9449.75;9010.58;9203.53;4.774;43867.35
2019-10-29;BTCUSD;9237.9;9539.26;9129.21;9449.75;13.66;127758.35
2019-10-28;BTCUSD;9489.84;9868.05;9214.93;9237.9;18.18;170792.7
2019-10-27;BTCUSD;9174.45;9790;9128.37;9489.84;10.75;101258.66
2019-10-26;BTCUSD;8633.86;10230;8633.86;9174.45;43.25;402049.53
2019-10-25;BTCUSD;7456.96;8800;7431.95;8633.86;13.55;112675.72
2019-10-24;BTCUSD;7439.9;7495.73;7400;7456.96;0.2783;2072.9
2019-10-23;BTCUSD;8041.4;8064.29;7437.58;7439.9;17.34;135833.47
2019-10-22;BTCUSD;8217.79;8300.09;8038.01;8041.4;2.826;23328.96
2019-10-21;BTCUSD;8221.7;8300;8188.9;8217.79;3.091;25437.16
2019-10-20;BTCUSD;7935.64;8258;7920;8221.7;5.622;45644.39
2019-10-19;BTCUSD;7978.8;8040.25;7935.64;7935.64;2.098;16798.1
2019-10-18;BTCUSD;8072.9;8106.4;7877.66;7978.8;6.088;48607.99
2019-10-17;BTCUSD;8010.9;8124.36;7969.98;8072.9;6.311;50921.49
2019-10-16;BTCUSD;8167.36;8187.7;7926.91;8010.9;7.15;57250.37
2019-10-15;BTCUSD;8312.59;8360.9;8152.78;8167.36;2.588;21492.94
2019-10-14;BTCUSD;8271.92;8370.11;8271.92;8312.59;2.784;23186.11
2019-10-13;BTCUSD;8318.79;8456.64;8208.3;8271.92;4.268;35825.36
2019-10-12;BTCUSD;8300;8384.3;8281.4;8318.79;1.51;12609.87
2019-10-11;BTCUSD;8574.5;8756.78;8300;8300;4.373;36828.13
2019-10-10;BTCUSD;8593.13;8641.5;8463.01;8574.5;3.192;27388.86
2019-10-09;BTCUSD;8197.8;8650.04;8005;8593.13;2.114;17843.6
2019-10-08;BTCUSD;8280.47;8320.59;8150.76;8197.8;0.7345;6023.89
2019-10-07;BTCUSD;7828.07;8290.8;7814.9;8280.47;8.719;71040.71
2019-10-06;BTCUSD;8193.64;8193.64;7828.07;7828.07;2.459;19599.04
2019-10-05;BTCUSD;8205.41;8205.41;8040;8193.64;2.429;19751.75
2019-10-04;BTCUSD;8272.6;8272.6;8100;8205.41;1.428;11655.53
2019-10-03;BTCUSD;8371.81;8408.36;8091.3;8272.6;2.884;23775.63
2019-10-02;BTCUSD;8307.1;8371.81;8193.83;8371.81;2.484;20554.87
2019-10-01;BTCUSD;8296.79;8649.99;8228.01;8307.1;6.098;51086.6
